relative_path,github_url,chunks,max_ratio,avg_ratio,worst_chunk_id,worst_source_chars,worst_target_chars,worst_target_preview
models.md,https://github.com/huggingface/transformers/blob/main/docs/source/ko/models.md,16,2.22,1.6,10,574,258,[~PreTrainedModel.frompretrained]로 분할된 체크포인트를 다시 로드합니다. 분할된 체크포인트는 [~transformers.trainerutils.loadshardedcheckpoint]로도 직접 불러올 수 있습니다. [~PreTrainedModel.savepretrained] 메소드는 매개변수 이
model_doc/mamba.md,https://github.com/huggingface/transformers/blob/main/docs/source/ko/model_doc/mamba.md,3,2.14,1.49,2,410,192,"맘바는 고전적인 트랜스포머와 견줄 만한 새로운 상태 공간 모델 아키텍처입니다. 이는 구조화된 상태 공간 모델의 발전 선상에 있으며, 플래시어텐션의 정신을 따르는 효율적인 하드웨어 인식 설계와 구현을 특징으로 합니다. 맘바는 어텐션 레이어와 동등한 믹서(mixer) 레이어를 쌓습니다. 맘바의 핵심 로직은 MambaMixer"
model_doc/code_llama.md,https://github.com/huggingface/transformers/blob/main/docs/source/ko/model_doc/code_llama.md,5,2.07,1.55,3,436,211,"아래 예시는 bitsandbytes를 사용하여 가중치를 4비트로만 양자화합니다. AttentionMaskVisualizer를 사용하면 모델이 어떤 토큰에 주의를 기울일 수 있고 기울일 수 없는지를 더 잘 이해할 수 있습니다. 인필링 기능은 7B 및 13B 기반 모델에서만 사용할 수 있으며, Python, Instruct,"
model_doc/lfm2.md,https://github.com/huggingface/transformers/blob/main/docs/source/ko/model_doc/lfm2.md,2,2.05,1.66,2,1064,520,"아키텍처는 게이트가 있는 짧은 합성곱 블록과 QK 레이어 정규화가 적용된 그룹 쿼리 어텐션 블록으로 구성됩니다. 이 설계는 선형 연산이 입력 의존적인 게이트에 의해 조절되는 동적 시스템 개념에서 비롯되었습니다. 짧은 합성곱은 특히 임베디드 SoC CPU에 최적화되어 있어, 클라우드 연결에 의존하지 않고 빠르고 로컬화된 추"
model_doc/electra.md,https://github.com/huggingface/transformers/blob/main/docs/source/ko/model_doc/electra.md,4,2.02,1.21,3,500,248,"ELECTRA는 또 다른 (작은) 마스킹된 언어 모델을 사용해 사전학습 된 트랜스포머 모델입니다. 작은 언어 모델이 입력 텍스트의 일부를 무작위로 마스킹하고, 그 자리에 새로운 토큰을 삽입합니다. ELECTRA는 원래 토큰과 대체된 토큰을 구분하는 역할을 수행합니다. GAN 훈련과 비슷하지만, 생성 모델은 ELECTRA "
internal/time_series_utils.md,https://github.com/huggingface/transformers/blob/main/docs/source/ko/internal/time_series_utils.md,1,1.99,1.99,1,289,145,이 페이지는 시계열 기반 모델에서 사용할 수 있는 유틸리티 함수와 클래스들을 나열합니다. 이 함수들 대부분은 시계열 모델의 코드를 연구하거나 분포 출력 클래스의 컬렉션에 추가하려는 경우에만 유용합니다. timeseriesutils.StudentTOutput
model_doc/gpt2.md,https://github.com/huggingface/transformers/blob/main/docs/source/ko/model_doc/gpt2.md,4,1.98,1.69,1,651,329,"GPT-2는 GPT의 확장 버전으로, 인과적 트랜스포머 언어 모델이며, 10배 더 많은 매개변수와 학습 데이터를 가지고 있습니다. 이 모델은 이전의 모든 단어를 기반으로 다음 단어를 예측하도록 40GB 데이터 세트에서 사전 학습되었습니다. 이러한 접근 방식을 통해 이 모델은 제로샷 설정에서 많은 다운스트림 작업을 수행할 "
internal/modeling_utils.md,https://github.com/huggingface/transformers/blob/main/docs/source/ko/internal/modeling_utils.md,1,1.9,1.9,1,256,135,이 페이지는 라이브러리에서 사용되는 사용자 정의 레이어와 모델링을 위한 유틸리티 함수들을 나열합니다. 이 함수들 대부분은 라이브러리 내의 모델 코드를 연구할 때만 유용합니다. pytorchutils.applychunkingtoforward
model_doc/gemma3.md,https://github.com/huggingface/transformers/blob/main/docs/source/ko/model_doc/gemma3.md,5,1.85,1.7,5,599,324,"기본적으로 이미지는 잘리지 않으며 기본 이미지만 모델로 전달됩니다. 고해상도 이미지나 정사각형이 아닌 종횡비의 이미지에서는 비전 인코더가 896x896의 고정 해상도를 사용하기 때문에 아티팩트가 발생할 수 있습니다. 이러한 아티팩트를 방지하고 추론 중 성능을 향상시키려면, dopanandscan=True를 설정하여 이미지"
main_classes/configuration.md,https://github.com/huggingface/transformers/blob/main/docs/source/ko/main_classes/configuration.md,2,1.82,1.69,2,200,110,"모든 구성 클래스에 존재하는 공통 속성은 다음과 같습니다: hiddensize, numattentionheads, numhiddenlayers. 텍스트 모델은 추가로 vocabsize를 구현합니다."
main_classes/model.md,https://github.com/huggingface/transformers/blob/main/docs/source/ko/main_classes/model.md,3,1.81,1.28,2,210,116,각 모델에 공통인 다른 메소드들은 다음의 클래스에서 정의됩니다. ~modelingutils.ModuleUtilsMixin 텍스트 생성을 위한 ~modelingtfutils.TFModuleUtilsMixin
model_sharing.md,https://github.com/huggingface/transformers/blob/main/docs/source/ko/model_sharing.md,11,1.78,1.25,9,424,238,코드 없는 접근 방식을 선호하는 사용자는 허브의 웹 인터페이스를 통해 모델을 업로드할 수 있습니다. huggingface.co/new를 방문하여 새로운 저장소를 생성하세요: 저장소의 소유자를 선택합니다. 이는 사용자 또는 사용자가 속한 조직일 수 있습니다. 이제 Files 탭을 클릭하고 Add file 버튼을 클릭하여 새
main_classes/data_collator.md,https://github.com/huggingface/transformers/blob/main/docs/source/ko/main_classes/data_collator.md,5,1.77,1.42,2,211,119,data.datacollator.defaultdatacollator data.datacollator.DefaultDataCollator data.datacollator.DataCollatorWithPadding
model_doc/jamba.md,https://github.com/huggingface/transformers/blob/main/docs/source/ko/model_doc/jamba.md,3,1.75,1.7,2,410,234,"> 오른쪽 사이드바에 있는 Jamba 모델을 누르면 다양한 언어 작업에 Jamba를 적용하는 예제를 더 확인할 수 있습니다. 아래 예제는 [Pipeline]과 [AutoModel], 그리고 커맨드라인을 통해 텍스트를 생성하는 방법을 보여줍니다. 양자화는 가중치를 더 낮은 정밀도로 표현하여 대규모 모델의 메모리 부담을 줄여"
main_classes/quantization.md,https://github.com/huggingface/transformers/blob/main/docs/source/ko/main_classes/quantization.md,1,1.73,1.73,1,563,325,"양자화 기법은 가중치와 활성화를 8비트 정수(int8)와 같은 더 낮은 정밀도의 데이터 타입으로 표현함으로써 메모리와 계산 비용을 줄입니다. 이를 통해 일반적으로는 메모리에 올릴 수 없는 더 큰 모델을 로드할 수 있고, 추론 속도를 높일 수 있습니다. Transformers는 AWQ와 GPTQ 양자화 알고리즘을 지원하며,"
main_classes/peft.md,https://github.com/huggingface/transformers/blob/main/docs/source/ko/main_classes/peft.md,1,1.67,1.67,1,333,199,"[~integrations.PeftAdapterMixin]은 Transformers 라이브러리와 함께 어댑터를 관리할 수 있도록 PEFT 라이브러리의 함수들을 제공합니다. 이 믹스인은 현재 LoRA, IA3, AdaLora를 지원합니다. 프리픽스 튜닝 방법들(프롬프트 튜닝, 프롬프트 학습)은 torch 모듈에 삽입할 수 "
pipeline_gradio.md,https://github.com/huggingface/transformers/blob/main/docs/source/ko/pipeline_gradio.md,2,1.64,1.6,1,425,259,"머신러닝 앱을 빠르고 쉽게 구축하고 공유할 수 있는 라이브러리인 Gradio는 [Pipeline]과 통합되어 추론을 위한 간단한 인터페이스를 빠르게 생성할 수 있습니다. 시작하기 전에 Gradio가 설치되어 있는지 확인하세요. 원하는 작업에 맞는 pipeline을 생성한 다음, Gradio의 Interface.frompi"
quantization/quanto.md,https://github.com/huggingface/transformers/blob/main/docs/source/ko/quantization/quanto.md,3,1.62,1.16,1,282,174,"이 노트북으로 Quanto와 transformers를 사용해 보세요! 🤗 Quanto 라이브러리는 다목적 파이토치 양자화 툴킷입니다. 이 라이브러리에서 사용되는 양자화 방법은 선형 양자화입니다. Quanto는 다음과 같은 여러 가지 기능을 제공합니다: 가중치 양자화 (float8,int8,int4,int2)"
internal/file_utils.md,https://github.com/huggingface/transformers/blob/main/docs/source/ko/internal/file_utils.md,1,1.61,1.61,1,222,138,이 페이지는 utils.py 파일에 있는 Transformers의 일반 유틸리티 함수들을 나열합니다. 이 함수들 대부분은 라이브러리의 일반적인 코드를 연구할 때만 유용합니다. utils.addstartdocstringstomodelforward
gguf.md,https://github.com/huggingface/transformers/blob/main/docs/source/ko/gguf.md,5,1.61,1.08,3,213,132,현재 지원되는 모델 아키텍처와 양자화 유형은 다음과 같습니다: 초기에 지원되는 양자화 유형은 Hub에서 공유된 인기 있는 양자화 파일에 따라 결정되었습니다. > GGUF 역양자화를 지원하려면 gguf>=0.10.0 설치가 필요합니다.
internal/pipelines_utils.md,https://github.com/huggingface/transformers/blob/main/docs/source/ko/internal/pipelines_utils.md,2,1.54,1.27,1,216,140,이 페이지는 라이브러리에서 파이프라인을 위해 제공하는 모든 유틸리티 함수들을 나열합니다. 이 함수들 대부분은 라이브러리 내 모델의 코드를 연구할 때만 유용합니다. pipelines.ZeroShotClassificationArgumentHandler
training.md,https://github.com/huggingface/transformers/blob/main/docs/source/ko/training.md,14,1.49,1.11,8,294,197,"미세 튜닝 중에 평가 지표를 모니터링하려면 훈련 인수에 evalstrategy 파라미터를 지정하여 각 에폭이 끝날 때 평가 지표를 확인할 수 있습니다: 모델, 훈련 인수, 훈련 및 테스트 데이터셋, 평가 함수가 포함된 [Trainer] 객체를 만듭니다: 그리고 [~transformers.Trainer.train]을 호출하"
internal/audio_utils.md,https://github.com/huggingface/transformers/blob/main/docs/source/ko/internal/audio_utils.md,1,1.48,1.48,1,329,223,이 페이지는 오디오 [FeatureExtractor]가 단시간 푸리에 변환(Short Time Fourier Transform) 또는 로그 멜 스펙트로그램(log mel spectrogram)과 같은 일반적인 알고리즘을 사용하여 원시 오디오에서 특수한 특성을 계산하는 데 사용할 수 있는 유틸리티 함수들을 나열합니다. 이 
internal/trainer_utils.md,https://github.com/huggingface/transformers/blob/main/docs/source/ko/internal/trainer_utils.md,1,1.39,1.39,1,184,132,이 페이지는 [Trainer]에서 사용되는 모든 유틸리티 함수들을 나열합니다. 이 함수들 대부분은 라이브러리에 있는 Trainer 코드를 자세히 알아보고 싶을 때만 유용합니다. trainercallback.CallbackHandler
main_classes/text_generation.md,https://github.com/huggingface/transformers/blob/main/docs/source/ko/main_classes/text_generation.md,3,1.26,1.17,1,208,165,각 프레임워크에는 해당하는 GenerationMixin 클래스에서 구현된 텍스트 생성을 위한 generate 메소드가 있습니다: PyTorch에서는 [~generation.GenerationMixin.generate]가 [~generation.GenerationMixin]에 구현되어 있습니다.
tasks/prompting.md,https://github.com/huggingface/transformers/blob/main/docs/source/ko/tasks/prompting.md,20,1.2,1.01,20,250,209,"엄격한 규제 하에 있는 민감한 데이터로 모델을 훈련해야 하는 경우. 비용, 개인정보 보호, 인프라 또는 기타 제한으로 인해 작은 모델을 사용해야 하는 경우. 위의 모든 예시에서, 모델을 미세 조정하기 위해 충분히 큰 도메인별 데이터셋을 이미 가지고 있거나 합리적인 비용으로 쉽게 얻을 수 있는지 확인해야 합니다. 또한 모델"
main_classes/feature_extractor.md,https://github.com/huggingface/transformers/blob/main/docs/source/ko/main_classes/feature_extractor.md,1,1.07,1.07,1,334,312,"특성 추출기는 오디오 또는 비전 모델을 위한 입력 특성을 준비하는 역할을 합니다. 여기에는 시퀀스에서 특성을 추출하는 작업(예를 들어, 오디오 파일을 전처리하여 Log-Mel 스펙트로그램 특성을 생성하는 것), 이미지에서 특성을 추출하는 작업(예를 들어, 이미지 파일을 자르는 것)이 포함됩니다. 뿐만 아니라 패딩, 정규화"
